237	2+306	0	32390	1	331411at2759|QAXB01007585_1|+|60|2.206e-10|1|2|307|2[2]:307[307]:306[306]
243	268+162	0	128012	1	687505at2759|QAXB01007777_1|+|67|1.724e-12|1|268|429|268[268]:429[429]:162[162]
393	541-105	0	37066	-1	751335at2759|QAXB01012577_1|-|38|0.0009254|1|437|541|541[541]:437[437]:105[105]
414	221-129	0	128012	-1	687505at2759|QAXB01013249_1|-|51|1.13e-07|1|93|221|221[221]:93[93]:129[129]
496	1838-300	0	3798	-1	142542at2759|QAXB01015873_1|-|82|5.26e-17|1|1539|1838|1838[1838]:1539[1539]:300[300]
662	9+345	0	193361	1	598949at2759|QAXB01021185_1|+|64|1.379e-11|1|9|353|9[9]:353[353]:345[345]
793	5+997	0	221265	1	1014314at2759|QAXB01025377_1|+|215|4.831e-57|2|5|1001|5[5]:73[73]:69[69]|204[204]:1001[1001]:798[798]
842	354-354	0	198951	-1	1322299at2759|QAXB01026945_1|-|94|1.284e-20|1|1|354|354[354]:1[1]:354[354]
1033	241-213	0	180782	-1	179362at2759|QAXB01033057_1|-|42|5.784e-05|1|29|241|241[241]:29[29]:213[213]
1037	240-240	0	146797	-1	866359at2759|QAXB01033185_1|-|108|7.838e-25|1|1|240|240[240]:1[1]:240[240]
1042	6+501	0	101489	1	418107at2759|QAXB01033345_1|+|52|5.648e-08|1|6|506|6[6]:506[506]:501[501]
1054	744-739	0	111628	-1	39650at2759|QAXB01033729_1|-|149|3.564e-37|2|6|744|744[744]:397[397]:348[348]|311[311]:6[6]:306[306]
1200	260+747	0	51923	1	719531at2759|QAXB01038401_1|+|55|7.06e-09|1|260|1006|260[260]:1006[1006]:747[747]
1229	563-285	0	188346	-1	142542at2759|QAXB01039329_1|-|63|2.758e-11|1|279|563|563[563]:279[279]:285[285]
1305	631-630	0	56221	-1	392369at2759|QAXB01041761_1|-|203|1.979e-53|1|2|631|631[631]:2[2]:630[630]
1313	58+363	0	155956	1	734341at2759|QAXB01042017_1|+|38|0.0009254|1|58|420|58[58]:420[420]:363[363]
1323	16+222	0	151884	1	392369at2759|QAXB01042337_1|+|117|1.531e-27|1|16|237|16[16]:237[237]:222[222]
1426	1824+408	0	206397	1	1312453at2759|QAXB01045633_1|+|42|5.784e-05|1|1824|2231|1824[1824]:2231[2231]:408[408]
1534	236+1996	0	191566	1	39650at2759|QAXB01049089_1|+|525|2.316e-150|2|236|2231|236[236]:1843[1843]:1608[1608]|1953[1959]:2231[2231]:279[273]
1557	1887+1041	0	149463	1	931188at2759|QAXB01049825_1|+|89|4.11e-19|1|1887|2927|1887[1887]:2927[2927]:1041[1041]
1567	355-336	0	48468	-1	911863at2759|QAXB01050145_1|-|40|0.0002313|1|20|355|355[355]:20[20]:336[336]
1573	496-348	0	28962	-1	1312453at2759|QAXB01050337_1|-|51|1.13e-07|1|149|496|496[496]:149[149]:348[348]
1585	2187-705	0	175603	-1	664730at2759|QAXB01050721_1|-|46|3.615e-06|1|1483|2187|2187[2187]:1483[1483]:705[705]
1664	516-504	0	28962	-1	1312453at2759|QAXB01053249_1|-|71|1.077e-13|1|13|516|516[516]:13[13]:504[504]
1670	7+228	0	155469	1	673132at2759|QAXB01053441_1|+|67|1.724e-12|1|7|234|7[7]:234[234]:228[228]
1687	2932-270	0	207489	-1	1405146at2759|QAXB01053985_1|-|83|2.63e-17|1|2663|2932|2932[2932]:2663[2663]:270[270]
1693	2457+700	0	113345	1	1312453at2759|QAXB01054177_1|+|113|2.449e-26|2|2457|3156|2457[2457]:2732[2732]:276[276]|2833[2833]:3156[3156]:324[324]
1697	282+945	0	171520	1	1003258at2759|QAXB01054305_1|+|40|0.0002313|1|282|1226|282[282]:1226[1226]:945[945]
1709	534+381	0	68449	1	674160at2759|QAXB01054689_1|+|42|5.784e-05|1|534|914|534[534]:914[914]:381[381]
1710	2309-714	0	71102	-1	1588798at2759|QAXB01054721_1|-|58|8.825e-10|1|1596|2309|2309[2309]:1596[1596]:714[714]
1718	7770-975	0	66811	-1	1563319at2759|QAXB01054977_1|-|265|4.291e-72|1|6796|7770|7770[7770]:6796[6796]:975[975]
1816	0+504	0	22657	1	801857at2759|QAXB01003042_1|+|103|2.508e-23|1|0|503|0[0]:503[503]:504[504]
1817	363-363	0	14394	-1	418107at2759|QAXB01003074_1|-|72|5.386e-14|1|1|363|363[363]:1[1]:363[363]
1830	308-309	0	4604	-1	1107630at2759|QAXB01003490_1|-|57|1.765e-09|1|0|308|308[308]:0[0]:309[309]
1885	313-312	0	123620	-1	1108845at2759|QAXB01005250_1|-|130|1.869e-31|1|2|313|313[313]:2[2]:312[312]
2144	353-351	0	182138	-1	1112002at2759|QAXB01013538_1|-|61|1.103e-10|1|3|353|353[353]:3[3]:351[351]
2312	0+243	0	118746	1	97116at2759|QAXB01018914_1|+|81|1.052e-16|1|0|242|0[0]:242[242]:243[243]
2324	437-432	0	173051	-1	974865at2759|QAXB01019298_1|-|138|7.3e-34|1|6|437|437[437]:6[6]:432[432]
2646	365-303	0	136083	-1	1405146at2759|QAXB01029602_1|-|126|2.99e-30|1|63|365|365[365]:63[63]:303[303]
2647	341-339	0	180985	-1	814241at2759|QAXB01029634_1|-|52|5.648e-08|1|3|341|341[341]:3[3]:339[339]
2737	1310-516	0	39494	-1	779909at2759|QAXB01032514_1|-|38|0.0009254|1|795|1310|1310[1310]:795[795]:516[516]
2750	82+822	0	10055	1	671536at2759|QAXB01032930_1|+|110|1.96e-25|1|82|903|82[82]:903[903]:822[822]
2759	1646-186	0	224463	-1	858842at2759|QAXB01033218_1|-|48|9.037e-07|1|1461|1646|1646[1646]:1461[1461]:186[186]
2793	484-483	0	192846	-1	426305at2759|QAXB01034306_1|-|75|6.733e-15|1|2|484|484[484]:2[2]:483[483]
2802	211+1204	0	1833	1	973442at2759|QAXB01034594_1|+|211|7.729e-56|2|211|1414|211[211]:456[456]:246[246]|647[650]:1414[1414]:768[765]
2893	1261-501	0	90414	-1	1065019at2759|QAXB01037506_1|-|113|2.449e-26|1|761|1261|1261[1261]:761[761]:501[501]
2941	2479-895	0	40789	-1	671536at2759|QAXB01039042_1|-|523|9.263e-150|2|1585|2479|2479[2479]:1799[1799]:681[681]|1713[1713]:1585[1585]:129[129]
2952	1229-525	0	28962	-1	1312453at2759|QAXB01039394_1|-|61|1.103e-10|1|705|1229|1229[1229]:705[705]:525[525]
3037	473+882	0	48679	1	1445102at2759|QAXB01042114_1|+|126|2.99e-30|1|473|1354|473[473]:1354[1354]:882[882]
3103	738+777	0	209491	1	905026at2759|QAXB01044226_1|+|61|1.103e-10|1|738|1514|738[738]:1514[1514]:777[777]
3112	675+318	0	30856	1	975557at2759|QAXB01044514_1|+|74|1.347e-14|1|675|992|675[675]:992[992]:318[318]
3273	1474+147	0	36990	1	142542at2759|QAXB01049666_1|+|50|2.259e-07|1|1474|1620|1474[1474]:1620[1620]:147[147]
3306	2187-705	0	175603	-1	664730at2759|QAXB01050722_1|-|46|3.615e-06|1|1483|2187|2187[2187]:1483[1483]:705[705]
3319	1015-1008	0	135221	-1	1370304at2759|QAXB01051138_1|-|192|4.052e-50|1|8|1015|1015[1015]:8[8]:1008[1008]
3333	146+1004	0	111628	1	39650at2759|QAXB01051586_1|+|134|1.168e-32|2|146|1149|146[146]:514[514]:369[369]|862[862]:1149[1149]:288[288]
3344	2733-1011	0	200084	-1	1284731at2759|QAXB01051938_1|-|81|1.052e-16|1|1723|2733|2733[2733]:1723[1723]:1011[1011]
3356	402+585	0	141161	1	721605at2759|QAXB01052322_1|+|39|0.0004627|1|402|986|402[402]:986[986]:585[585]
3413	1309-552	0	901	-1	245208at2759|QAXB01054146_1|-|286|2.046e-78|1|758|1309|1309[1309]:758[758]:552[552]
3413	351-198	0	214548	-1	245208at2759|QAXB01054146_1|-|87|1.644e-18|1|154|351|351[351]:154[154]:198[198]
3418	1221+267	0	229685	1	1249159at2759|QAXB01054306_1|+|55|7.06e-09|1|1221|1487|1221[1221]:1487[1487]:267[267]
3434	22+249	0	29768	1	779909at2759|QAXB01054818_1|+|81|1.052e-16|1|22|270|22[22]:270[270]:249[249]
3508	1022-981	0	153439	-1	1348942at2759|QAXB01002115_1|-|98|8.026e-22|1|42|1022|1022[1022]:42[42]:981[981]
3556	2+312	0	163485	1	390348at2759|QAXB01003651_1|+|159|3.481e-40|1|2|313|2[2]:313[313]:312[312]
3588	547-495	0	156736	-1	1112002at2759|QAXB01004675_1|-|77|1.683e-15|1|53|547|547[547]:53[53]:495[495]
4170	7+186	0	59768	1	396755at2759|QAXB01023299_1|+|46|3.615e-06|1|7|192|7[7]:192[192]:186[186]
4290	37+204	0	25271	1	1014314at2759|QAXB01027139_1|+|42|5.784e-05|1|37|240|37[37]:240[240]:204[204]
4390	1062-285	0	105592	-1	1107630at2759|QAXB01030339_1|-|70|2.155e-13|1|778|1062|1062[1062]:778[778]:285[285]
4442	13+240	0	70641	1	87842at2759|QAXB01032003_1|+|54|1.412e-08|1|13|252|13[13]:252[252]:240[240]
4504	1827-732	0	153439	-1	1348942at2759|QAXB01033987_1|-|71|1.077e-13|1|1096|1827|1827[1827]:1096[1096]:732[732]
4533	1478-843	0	192388	-1	719531at2759|QAXB01034915_1|-|308|4.878e-85|1|636|1478|1478[1478]:636[636]:843[843]
4554	1754+822	0	229892	1	761109at2759|QAXB01035587_1|+|42|5.784e-05|1|1754|2575|1754[1754]:2575[2575]:822[822]
4594	564-165	0	92552	-1	390348at2759|QAXB01036867_1|-|38|0.0009254|1|400|564|564[564]:400[400]:165[165]
4614	1285-501	0	90414	-1	1065019at2759|QAXB01037507_1|-|113|2.449e-26|1|785|1285|1285[1285]:785[785]:501[501]
4779	718+636	0	209491	1	905026at2759|QAXB01042787_1|+|54|1.412e-08|1|718|1353|718[718]:1353[1353]:636[636]
