Mutant,Replicate,Thiamine,Time,OD
F3,1,1,282,"0,672"
F3,1,1,306,"0,704"
F3,1,1,"330,33","0,714"
F3,1,1,"354,5","0,757"
F3,1,1,378,"0,761"
F3,1,1,"401,66","0,788"
F3,1,1,"426,33","0,781"
F3,2,1,0,"0,086"
F3,2,1,42,"0,104"
F3,2,1,66,"0,138"
F3,2,1,90,"0,212"
F3,2,1,"114,25","0,328"
F3,2,1,"138,75","0,411"
F3,2,1,"162,33","0,445"
F3,2,1,187,"0,515"
F3,2,1,"210,33","0,565"
F3,2,1,234,"0,617"
F3,2,1,"258,5","0,629"
F3,2,1,282,"0,705"
F3,2,1,306,"0,734"
F3,2,1,"330,33","0,722"
F3,2,1,"354,5","0,748"
F3,2,1,378,NA
F3,2,1,"401,66","0,813"
F3,2,1,"426,33","0,814"
F3,3,1,0,"0,089"
F3,3,1,42,"0,11"
F3,3,1,66,"0,138"
F3,3,1,90,"0,227"
F3,3,1,"114,25","0,335"
F3,3,1,"138,75","0,407"
F3,3,1,"162,33","0,482"
F3,3,1,187,"0,512"
F3,3,1,"210,33","0,577"
F3,3,1,234,"0,636"
F3,3,1,"258,5","0,661"
F3,3,1,282,"0,651"
F3,3,1,306,"0,688"
F3,3,1,"330,33","0,707"
F3,3,1,"354,5","0,746"
F3,3,1,378,"0,732"
F3,3,1,"401,66","0,749"
F3,3,1,"426,33","0,74"
WT,1,0,0,"0,091"
WT,1,0,42,"0,137"
WT,1,0,66,"0,188"
WT,1,0,90,"0,323"
WT,1,0,"114,25","0,375"
WT,1,0,"138,75","0,427"
WT,1,0,"162,33","0,512"
WT,1,0,187,"0,545"
WT,1,0,"210,33","0,581"
WT,1,0,234,"0,634"
WT,1,0,"258,5","0,654"
WT,1,0,282,"0,687"
WT,1,0,306,"0,71"
WT,1,0,"330,33","0,72"
WT,1,0,"354,5","0,748"
WT,1,0,378,"0,736"
WT,1,0,"401,66","0,735"
WT,1,0,"426,33","0,755"
WT,2,0,0,"0,094"
WT,2,0,42,"0,126"
WT,2,0,66,"0,177"
WT,2,0,90,"0,273"
WT,2,0,"114,25","0,336"
WT,2,0,"138,75","0,422"
WT,2,0,"162,33","0,523"
WT,2,0,187,"0,582"
WT,2,0,"210,33","0,589"
WT,2,0,234,"0,619"
WT,2,0,"258,5","0,669"
WT,2,0,282,"0,683"
WT,2,0,306,"0,734"
WT,2,0,"330,33","0,714"
WT,2,0,"354,5","0,769"
WT,2,0,378,"0,785"
WT,2,0,"401,66","0,807"
